age,income,experience,score_test,hours_worked,distance_to_work,savings,debt,education,city,job_type,marital_status,car,remote_work,salary
56,70201.18967961494,25,87.55972920431155,62,3.708689893423628,25987.33404810889,2556.821626825331,PhD,Chicago,Finance,Single,Yes,Yes,106233.83347912796
69,51901.897395207045,39,70.80838058166027,36,7.082792844680674,22134.899021245226,725.1805131996598,High School,Houston,Retail,Single,No,Yes,87205.29104230268
46,38605.40929282667,4,63.324996406529735,77,5.1291544459404825,47106.068407617626,12659.359582604186,PhD,Los Angeles,Finance,Married,Yes,No,69369.28352181046
32,49949.7369551154,20,78.21550513047475,33,19.315622756289844,15868.328812604952,12369.776003188672,Bachelor,Los Angeles,IT,Married,Yes,No,76587.11695517697
60,48965.29009481312,13,74.42909554186531,48,5.654904394649525,15734.633331785966,4792.095212879798,Bachelor,Phoenix,IT,Married,No,No,71023.1488421622
25,11326.76855506262,3,73.02282657722371,39,4.879219092227705,11916.744036679549,6431.835876048333,Bachelor,Los Angeles,IT,Single,No,Yes,49665.609628701226
38,41579.49711356512,22,87.16312039349403,49,11.706144105817632,33558.588985940616,12271.330484313676,PhD,Chicago,Retail,Single,No,Yes,92451.86684068567
56,54713.05599425676,19,76.6713921321063,38,9.224122045691013,32785.043710314385,4876.906463877602,Bachelor,New York,Retail,Single,Yes,Yes,77558.75560022953
36,43636.76652182321,14,77.63569073535484,72,1.1344514560358787,40287.79561471956,5796.9292787704935,Master,Phoenix,Healthcare,Married,Yes,No,70917.64908902685
40,40306.85957265501,28,71.72947441245904,58,7.096197236880269,9083.212469198505,12941.384434951728,Master,New York,IT,Married,No,No,83196.21523114102
28,63670.64293706846,7,83.81123139279526,75,13.298323233968965,15617.453040167493,13457.924798296843,Bachelor,Los Angeles,Finance,Married,Yes,No,75942.85253236635
28,36251.81262836841,18,82.01875781307919,32,48.37703255099238,29482.55135891216,1823.4158057228947,Bachelor,New York,IT,Single,Yes,No,70102.40351786403
41,60674.33975706234,38,83.73659676894293,37,9.919490736115792,67174.47569975103,17354.95372727056,Bachelor,New York,IT,Married,Yes,Yes,111085.47540736996
53,30008.83293817573,27,70.02736033363821,42,4.625007526560756,16690.82229739448,15444.176466810663,Bachelor,New York,Retail,Married,Yes,No,67563.70568231349
57,91411.42903589277,26,88.04088460046995,65,2.5637928995395196,2559.787297913318,6929.823711539204,Master,New York,Education,Single,No,Yes,114624.48774154384
41,46764.71709648114,3,93.38768423766373,52,20.62232346213426,30372.426928837664,271.6115461368727,Master,New York,Retail,Divorced,Yes,Yes,63876.30767016739
